nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
275,AP044,Dodol galamai,Serealia,Olahan (Processed),16.5 g,348 Kal,0.4 g,3.8 g,76.1 g,1.2 g,41 mg,144 mg,2.6 mg,38 mg,76.0 mg,0.30 mg,2.1 mg,0.06 mg,1.8 mg,0.5 g,0 mcg,0 mcg,0 mcg,0.03 mg,0 mg
276,AP045,Dodol kedondong,Serealia,Olahan (Processed),26.4 g,331 Kal,1.9 g,7.6 g,63.8 g,0.4 g,90 mg,55 mg,2.3 mg,,,,,,0.8 mg,1.0 g,0 mcg,,408 mcg,0.11 mg,5 mg
277,AP046,Dodol manado,Serealia,Olahan (Processed),26.1 g,373 Kal,4.3 g,16.5 g,51.9 g,1.2 g,41 mg,142 mg,2.4 mg,35 mg,72.0 mg,0.30 mg,2.1 mg,0.06 mg,2.1 mg,0.4 g,0 mcg,0 mcg,0 mcg,0.04 mg,0 mg
278,EP002,Dodol nanas,Buah,Olahan (Processed),16.1 g,338 Kal,1.5 g,1.2 g,80.3 g,0.9 g,,,,,,,,,,,,,,0.30 mg,8 mg
279,FR016,"Domba, daging, gemuk, segar (Lamb, meat, high fat, fresh)",Daging,Mentah (Raw),55.8 g,317 Kal,15.7 g,27.7 g,0.0 g,0.8 g,9 mg,157 mg,2.4 mg,64 mg,242.1 mg,0.11 mg,3.7 mg,0.23 mg,6.5 mg,0.0 g,0 mcg,0 mcg,,0.14 mg,0 mg
280,FR017,"Domba, daging, kurus,  segar (Lamb, meat, low fat, fresh)",Daging,Mentah (Raw),66.3 g,202 Kal,17.1 g,14.8 g,0.0 g,1.8 g,10 mg,191 mg,2.6 mg,90 mg,355.0 mg,0.08 mg,2.8 mg,0.26 mg,5.7 mg,0.0 g,0 mcg,0 mcg,,0.15 mg,0 mg
281,FR018,"Domba, ginjal, segar (Kidney, lamb, fresh)",Daging,Mentah (Raw),77.8 g,100 Kal,16.6 g,3.3 g,1.0 g,1.3 g,13 mg,237 mg,9.2 mg,155 mg,276.0 mg,0.48 mg,2.4 mg,2.35 mg,7.5 mg,0.0 g,348 mcg,515 mcg,,0.51 mg,13 mg
282,ER022,"Duku, segar",Buah,Mentah (Raw),82.0 g,63 Kal,1.0 g,0.2 g,16.1 g,0.7 g,18 mg,9 mg,0.9 mg,2 mg,149.0 mg,0.09 mg,0.2 mg,0.15 mg,1.5 mg,4.3 g,,0 mcg,0 mcg,0.05 mg,9 mg
283,ER023,"Durian, segar (Durian, fresh)",Buah,Mentah (Raw),65.0 g,134 Kal,2.5 g,3.0 g,28.0 g,8.0 g,7 mg,44 mg,1.3 mg,1 mg,601.0 mg,0.12 mg,0.3 mg,0.19 mg,136.5 mg,3.5 g,,146 mcg,175 mcg,0.10 mg,53 mg
284,ER024,"Duwet, segar (Jambolan, fresh)",Buah,Mentah (Raw),80.2 g,80 Kal,0.5 g,0.6 g,18.2 g,0.5 g,33 mg,138 mg,1.3 mg,16 mg,92.7 mg,191.28 mg,0.3 mg,0.01 mg,2.5 mg,0.9 g,0 mcg,329 mcg,0 mcg,0.02 mg,130 mg
285,DR082,"Eceng, segar",Sayuran,Mentah (Raw),93.0 g,19 Kal,1.0 g,0.2 g,3.8 g,2.0 g,80 mg,45 mg,3.7 mg,45 mg,634.1 mg,,,0.10 mg,0.7 mg,1.8 g,,7 mcg,"1,000 mcg",0.08 mg,50 mg
286,ER025,"Embacang, segar (Kuwini, fresh)",Buah,Mentah (Raw),72.5 g,98 Kal,1.4 g,0.2 g,25.4 g,0.5 g,21 mg,15 mg,0.5 mg,3 mg,250.9 mg,0.13 mg,0.1 mg,0.09 mg,0.7 mg,1.9 g,,"2,533 mcg","1,218 mcg",0.03 mg,56 mg
287,FP046,"Empal (daging) Goreng, masakan",Daging,Olahan (Processed),43.9 g,248 Kal,36.2 g,6.9 g,10.1 g,2.0 g,131 mg,235 mg,6.4 mg,848 mg,,,,,,,112 mcg,,620 mcg,0.55 mg,0 mg
288,CP024,Emping (kerupuk melinjo),Kacang-Kacangan,Olahan (Processed),13.0 g,345 Kal,12.0 g,1.5 g,71.5 g,28.0 g,100 mg,400 mg,5.0 mg,,,,,,,,,,,0.20 mg,0 mg
289,AP047,Emping beras,Serealia,Olahan (Processed),13.6 g,403 Kal,10.6 g,2.2 g,85.3 g,1.9 g,11 mg,240 mg,0.3 mg,1 mg,113.0 mg,0.30 mg,2.4 mg,0.16 mg,,0.2 g,,,0 mcg,0.00 mg,0 mg
290,CP025,Emping komak,Kacang-Kacangan,Olahan (Processed),14.2 g,355 Kal,17.8 g,4.6 g,60.7 g,2.7 g,87 mg,304 mg,4.3 mg,24 mg,"1,233.0 mg",1.00 mg,2.3 mg,,0.6 mg,,,0 mcg,,,
291,ER026,"Encung asam, segar (Tamarillo, fresh)",Buah,Mentah (Raw),73.0 g,122 Kal,3.5 g,4.5 g,17.5 g,1.5 g,63 mg,69 mg,3.2 mg,,,,,,,9.3 g,0 mcg,,"2,357 mcg",0.02 mg,0 mg
292,CP026,Enting-enting gepuk hello kity,Kacang-Kacangan,Olahan (Processed),2.4 g,538 Kal,13.6 g,30.3 g,52.6 g,1.0 g,81 mg,248 mg,1.6 mg,,,,,,,0.2 g,0 mcg,,202 mcg,1.00 mg,0 mg
293,CP027,Enting-enting gepuk kacang tanah,Kacang-Kacangan,Olahan (Processed),4.2 g,524 Kal,13.3 g,29.2 g,52.0 g,1.4 g,76 mg,248 mg,1.4 mg,,,,,,,0.2 g,0 mcg,,272 mcg,0.62 mg,0 mg
294,CP028,Enting-enting wijen,Kacang-Kacangan,Olahan (Processed),3.7 g,565 Kal,18.2 g,38.4 g,36.8 g,3.0 g,251 mg,502 mg,10.9 mg,,,,,,,1.9 g,0 mcg,,240 mcg,0.92 mg,0 mg
295,ER027,"Erbis, segar (Passion-fruit (granadilla), fresh)",Buah,Mentah (Raw),80.0 g,70 Kal,0.6 g,0.0 g,18.9 g,0.5 g,11 mg,50 mg,1.1 mg,21 mg,257.1 mg,0.06 mg,0.1 mg,0.10 mg,1.1 mg,7.7 g,,549 mcg,10 mcg,0.00 mg,16 mg
296,JP001,Es krim,Susu,Olahan (Processed),62.1 g,210 Kal,4.0 g,12.5 g,20.6 g,0.8 g,123 mg,99 mg,0.1 mg,78 mg,193.4 mg,0.00 mg,0.7 mg,0.23 mg,0.1 mg,0.0 g,158 mcg,0 mcg,,0.04 mg,1 mg
297,GP061,Fillet o-fish,Ikan/Kerang/Udang dll,Olahan (Processed),51.0 g,270 Kal,12.3 g,15.9 g,19.3 g,1.5 g,239 mg,272 mg,1.8 mg,439 mg,,,,,,0.2 g,34 mcg,,580 mcg,0.59 mg,0 mg
298,BR007,"Gadeng/Gadung, kering (Asiatic bitter yam, fresh)",Umbi Berpati,Mentah (Raw),20.2 g,322 Kal,2.4 g,0.6 g,76.6 g,0.2 g,39 mg,22 mg,2.2 mg,5 mg,2.0 mg,0.50 mg,0.2 mg,0.02 mg,1.0 mg,,0 mcg,0 mcg,0 mcg,0.45 mg,0 mg
299,DP031,Gado-gado,Sayuran,Olahan (Processed),68.5 g,137 Kal,6.1 g,3.2 g,21.0 g,1.5 g,301 mg,135 mg,7.5 mg,,,,,,,1.1 g,3 mcg,,"5,929 mcg",0.10 mg,1 mg
300,BP006,"Gadung, ubi, kukus",Umbi Berpati,Olahan (Processed),77.4 g,88 Kal,0.6 g,0.3 g,20.9 g,0.8 g,26 mg,47 mg,0.4 mg,6 mg,584.0 mg,0.20 mg,0.2 mg,0.00 mg,0.4 mg,0.9 g,0 mcg,0 mcg,0 mcg,0.03 mg,0 mg
301,BR008,"Gadung, ubi, segar (Asiatic bitter yam, fresh)",Umbi Berpati,Mentah (Raw),74.4 g,100 Kal,0.9 g,0.3 g,23.5 g,0.9 g,79 mg,66 mg,0.9 mg,8 mg,687.2 mg,0.20 mg,0.2 mg,0.00 mg,0.5 mg,2.1 g,0 mcg,0 mcg,0 mcg,0.23 mg,2 mg
302,DR083,"Gambas (oyong), segar (Angled loofah, fresh)",Sayuran,Mentah (Raw),94.5 g,19 Kal,0.8 g,0.2 g,4.1 g,0.4 g,19 mg,33 mg,0.9 mg,23 mg,109.1 mg,0.00 mg,0.1 mg,0.00 mg,0.4 mg,1.3 g,,17 mcg,380 mcg,0.03 mg,8 mg
303,ER028,Gandaria masak (Kundang),Buah,Mentah (Raw),80.8 g,68 Kal,0.7 g,0.1 g,18.0 g,0.4 g,9 mg,20 mg,1.0 mg,3 mg,129.0 mg,,,0.07 mg,0.7 mg,2.2 g,,329 mcg,"1,020 mcg",0.03 mg,111 mg
304,BP007,"Ganyong, rebus",Umbi Berpati,Olahan (Processed),74.1 g,100 Kal,0.8 g,0.2 g,23.8 g,1.1 g,15 mg,65 mg,0.9 mg,,,,,,,0.9 g,0 mcg,0 mcg,0 mcg,0.04 mg,6 mg
305,BR009,"Ganyong, segar (Canna, fresh)",Umbi Berpati,Mentah (Raw),79.9 g,77 Kal,0.6 g,0.2 g,18.4 g,0.9 g,15 mg,67 mg,1.0 mg,,,,,,,0.8 g,0 mcg,0 mcg,0 mcg,0.10 mg,9 mg
306,ER029,"Gatep, segar (Chestnut, fresh)",Buah,Mentah (Raw),52.7 g,191 Kal,4.5 g,1.5 g,39.7 g,1.6 g,186 mg,69 mg,3.2 mg,17 mg,403.3 mg,0.69 mg,1.3 mg,0.20 mg,1.8 mg,13.4 g,,51 mcg,,0.05 mg,
307,BP026,Gatot,Umbi Berpati,Olahan (Processed),12.8 g,347 Kal,1.3 g,0.7 g,83.8 g,1.4 g,78 mg,44 mg,17.1 mg,28 mg,242.0 mg,0.20 mg,0.7 mg,0.10 mg,0.4 mg,5.8 g,,0 mcg,0 mcg,0.02 mg,0 mg
308,BP027,Geblek,Umbi Berpati,Olahan (Processed),52.1 g,195 Kal,0.4 g,1.7 g,44.4 g,1.4 g,35 mg,13 mg,0.6 mg,353 mg,125.0 mg,0.30 mg,0.3 mg,0.00 mg,0.1 mg,3.6 g,,0 mcg,0 mcg,0.02 mg,0 mg
309,BR010,"Gembili, ubi, segar (Lesser yam, fresh)",Umbi Berpati,Mentah (Raw),66.4 g,131 Kal,1.1 g,0.2 g,31.3 g,1.0 g,14 mg,56 mg,0.6 mg,10 mg,200.0 mg,0.20 mg,0.3 mg,0.00 mg,0.9 mg,1.1 g,0 mcg,0 mcg,0 mcg,0.08 mg,4 mg
310,AP048,Gemblong,Serealia,Olahan (Processed),36.2 g,274 Kal,1.7 g,5.4 g,55.5 g,1.2 g,69 mg,55 mg,3.3 mg,,,,,,,2.2 g,0 mcg,0 mcg,0 mcg,0.00 mg,0 mg
311,AP049,Gendar goreng,Serealia,Olahan (Processed),30.4 g,407 Kal,6.4 g,28.2 g,32.0 g,3.0 g,216 mg,62 mg,1.6 mg,,,,,0.00 mg,0.6 mg,0.1 g,0 mcg,,184 mcg,0.16 mg,0 mg
312,DR084,"Genjer, segar (Sawah lettuce, fresh)",Sayuran,Mentah (Raw),90.0 g,35 Kal,1.7 g,0.2 g,7.7 g,0.4 g,62 mg,33 mg,2.1 mg,64 mg,905.8 mg,,,0.10 mg,1.1 mg,2.5 g,,,"3,800 mcg",0.07 mg,54 mg
313,CP029,Geplak,Kacang-Kacangan,Olahan (Processed),29.6 g,350 Kal,1.4 g,14.4 g,53.6 g,1.0 g,151 mg,43 mg,2.1 mg,,,,,0.02 mg,0.8 mg,1.8 g,0 mcg,,120 mcg,0.12 mg,0 mg
314,CP030,Geplak jahe,Kacang-Kacangan,Olahan (Processed),12.4 g,462 Kal,3.1 g,24.4 g,57.7 g,2.5 g,212 mg,161 mg,6.6 mg,,,,,0.00 mg,0.1 mg,3.3 g,0 mcg,,272 mcg,0.12 mg,0 mg
315,GP062,"Gete kuah asam, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),80.1 g,75 Kal,8.2 g,2.0 g,6.0 g,3.8 g,"1,620 mg",880 mg,0.8 mg,260 mg,150.0 mg,0.10 mg,1.5 mg,,0.1 mg,,,,,,
316,BP028,Getuk goreng,Umbi Berpati,Olahan (Processed),16.5 g,360 Kal,1.3 g,6.4 g,74.3 g,1.5 g,59 mg,81 mg,3.2 mg,,,,,,0.1 mg,0.8 g,0 mcg,0 mcg,0 mcg,0.21 mg,0 mg
317,EP003,Getuk pisang,Buah,Olahan (Processed),63.7 g,144 Kal,1.1 g,0.4 g,34.1 g,0.7 g,48 mg,32 mg,1.0 mg,,,,,,,0.4 g,,,"1,240 mcg",0.55 mg,0 mg
318,BP029,Getuk singkong,Umbi Berpati,Olahan (Processed),49.8 g,204 Kal,0.5 g,1.4 g,47.4 g,1.1 g,97 mg,52 mg,1.5 mg,,,,,,0.1 mg,0.8 g,0 mcg,,208 mcg,0.08 mg,0 mg
319,DP032,"Gudeg, sayur",Sayuran,Olahan (Processed),69.2 g,160 Kal,3.3 g,9.2 g,16.0 g,2.1 g,62 mg,55 mg,12.8 mg,,,,,,,2.3 g,0 mcg,,166 mcg,0.15 mg,0 mg
320,MP005,"Gula aren (Sugar, palm)",Konfeksioneri,Olahan (Processed),7.0 g,368 Kal,0.0 g,0.0 g,92.0 g,1.0 g,75 mg,35 mg,3.0 mg,15 mg,390.4 mg,0.04 mg,26.4 mg,0.01 mg,0.5 mg,0.0 g,0 mcg,0 mcg,,0.00 mg,0 mg
321,MP006,Gula kelapa,Konfeksioneri,Olahan (Processed),10.0 g,386 Kal,3.0 g,10.0 g,76.0 g,1.0 g,76 mg,37 mg,2.6 mg,2 mg,0.0 mg,0.00 mg,0.0 mg,0.34 mg,0.5 mg,0.0 g,0 mcg,0 mcg,,0.00 mg,0 mg
322,MP007,Gula putih (Sugar cane),Konfeksioneri,Olahan (Processed),5.4 g,394 Kal,0.0 g,0.0 g,94.0 g,0.6 g,5 mg,1 mg,0.1 mg,1 mg,4.8 mg,0.00 mg,0.0 mg,0.00 mg,0.0 mg,0.0 g,0 mcg,0 mcg,,0.00 mg,0 mg
323,GP063,"Gulai asam keueung, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),86.0 g,52 Kal,10.0 g,0.5 g,1.8 g,1.7 g,62 mg,102 mg,0.3 mg,332 mg,141.0 mg,0.00 mg,1.0 mg,0.34 mg,,,,,,0.18 mg,
324,GP064,"Gulai ikan paya, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),72.1 g,148 Kal,10.0 g,9.8 g,5.0 g,3.1 g,103 mg,82 mg,0.7 mg,525 mg,256.0 mg,0.10 mg,0.9 mg,0.02 mg,,,,,,0.26 mg,
325,GP065,"Gulai ikan, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),75.7 g,106 Kal,16.5 g,3.3 g,2.5 g,2.0 g,306 mg,196 mg,4.8 mg,743 mg,,,,,,,86 mcg,,"2,760 mcg",0.32 mg,0 mg
326,FP047,Gulai kambing,Daging,Olahan (Processed),78.4 g,126 Kal,4.2 g,9.4 g,6.2 g,1.8 g,45 mg,73 mg,1.3 mg,302 mg,138.0 mg,0.20 mg,1.1 mg,0.01 mg,,,151 mcg,,,0.13 mg,
327,GP066,"Gulai keumamah, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),81.4 g,110 Kal,5.9 g,8.2 g,3.2 g,1.3 g,32 mg,96 mg,1.0 mg,335 mg,121.0 mg,0.20 mg,0.9 mg,0.04 mg,,,,,,0.33 mg,
328,DP033,Gulai pakis,Sayuran,Olahan (Processed),76.1 g,143 Kal,4.0 g,11.4 g,6.0 g,2.6 g,548 mg,124 mg,1.7 mg,,,,,,,1.4 g,11 mcg,,"9,802 mcg",0.35 mg,1 mg
329,DP034,Gulai pliek,Sayuran,Olahan (Processed),71.9 g,176 Kal,7.3 g,14.9 g,3.2 g,2.7 g,39 mg,54 mg,1.4 mg,257 mg,285.0 mg,0.30 mg,0.6 mg,,,,,,,,
330,GP067,"Gulai tiram, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),73.1 g,132 Kal,9.0 g,7.2 g,7.8 g,2.9 g,53 mg,134 mg,3.7 mg,285 mg,133.0 mg,1.10 mg,0.7 mg,0.12 mg,,,389 mcg,,,0.29 mg,
331,GP068,"Gurame asem manis, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),63.1 g,192 Kal,12.7 g,10.1 g,12.7 g,2.4 g,283 mg,169 mg,1.1 mg,,,,,,,0.0 g,19 mcg,,"1,440 mcg",0.10 mg,0 mg
332,BP030,Gurandil,Umbi Berpati,Olahan (Processed),47.5 g,218 Kal,0.5 g,2.5 g,48.5 g,1.0 g,50 mg,25 mg,2.8 mg,,,,,,,3.1 g,,,0 mcg,0.19 mg,0 mg
333,FP005,Ham,Daging,Olahan (Processed),42.0 g,384 Kal,16.9 g,35.0 g,0.3 g,5.8 g,10 mg,136 mg,2.5 mg,112 mg,819.3 mg,0.11 mg,0.4 mg,0.95 mg,9.7 mg,0.0 g,0 mcg,,,0.70 mg,0 mg
334,JP002,Hangop,Susu,Olahan (Processed),84.0 g,65 Kal,10.0 g,1.0 g,3.5 g,1.5 g,180 mg,190 mg,0.2 mg,126 mg,374.4 mg,0.00 mg,,0.43 mg,0.2 mg,0.0 g,,22 mcg,,0.03 mg,
335,BR011,"Hofa/Ubi hutan, segar",Umbi Berpati,Mentah (Raw),67.9 g,127 Kal,1.2 g,0.5 g,29.5 g,0.9 g,30 mg,8 mg,0.7 mg,3 mg,4.0 mg,0.10 mg,0.2 mg,0.05 mg,0.6 mg,3.4 g,0 mcg,0 mcg,0 mcg,0.30 mg,0 mg
336,GP069,"Ikan asar merah, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),69.2 g,146 Kal,17.7 g,5.9 g,5.6 g,1.6 g,100 mg,240 mg,4.0 mg,170 mg,310.0 mg,0.30 mg,1.4 mg,,,,224 mcg,0 mcg,,,
337,GP004,"Ikan asin, kering",Ikan/Kerang/Udang dll,Olahan (Processed),40.0 g,193 Kal,42.0 g,1.5 g,0.0 g,16.5 g,200 mg,300 mg,0.0 mg,,,,,,,0.0 g,,,,0.01 mg,0 mg
338,GR004,"Ikan bader, segar (Silver barb, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),66.0 g,193 Kal,19.0 g,13.0 g,0.0 g,2.0 g,48 mg,150 mg,0.4 mg,118 mg,264.9 mg,0.10 mg,0.2 mg,0.10 mg,4.1 mg,0.0 g,45 mcg,0 mcg,,0.01 mg,0 mg
339,GR005,"Ikan balong, segar",Ikan/Kerang/Udang dll,Mentah (Raw),76.5 g,107 Kal,16.5 g,3.9 g,1.5 g,1.5 g,54 mg,202 mg,2.0 mg,86 mg,253.4 mg,0.50 mg,1.0 mg,0.10 mg,2.5 mg,0.0 g,25 mcg,0 mcg,0 mcg,0.05 mg,0 mg
340,GR006,"Ikan bambangan, segar (Humphead Snapper, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),73.7 g,112 Kal,20.0 g,1.3 g,3.7 g,1.3 g,98 mg,120 mg,3.0 mg,148 mg,258.7 mg,0.00 mg,0.1 mg,0.00 mg,0.3 mg,0.0 g,0 mcg,0 mcg,0 mcg,0.07 mg,0 mg
341,GP005,"Ikan bandeng presto, masakan",Ikan/Kerang/Udang dll,Olahan (Processed),45.3 g,296 Kal,17.1 g,20.3 g,11.3 g,6.0 g,"1,422 mg",659 mg,1.9 mg,,,,,,,0.0 g,6 mcg,0 mcg,400 mcg,0.14 mg,69 mg
342,GR007,"Ikan bandeng, segar (Milkfish, raw)",Ikan/Kerang/Udang dll,Mentah (Raw),74.0 g,123 Kal,20.0 g,4.8 g,0.0 g,1.2 g,20 mg,150 mg,2.0 mg,67 mg,271.1 mg,0.00 mg,0.9 mg,0.10 mg,6.0 mg,0.0 g,45 mcg,21 mcg,,0.05 mg,0 mg
343,GR008,"Ikan banjar, segar",Ikan/Kerang/Udang dll,Mentah (Raw),73.5 g,111 Kal,19.4 g,0.9 g,4.8 g,1.4 g,68 mg,278 mg,7.3 mg,99 mg,338.7 mg,0.20 mg,0.6 mg,0.20 mg,7.3 mg,0.0 g,0 mcg,62 mcg,0 mcg,0.03 mg,0 mg
344,GR009,"Ikan baronang, segar (Golden-lined spinefoot, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),80.0 g,78 Kal,14.5 g,0.6 g,3.7 g,1.2 g,26 mg,521 mg,3.8 mg,26 mg,692.0 mg,4.70 mg,4.1 mg,0.04 mg,3.0 mg,0.0 g,732 mcg,0 mcg,,0.20 mg,0 mg
345,GR010,"Ikan batung, segar (Indonesian-Shortfin Eel)",Ikan/Kerang/Udang dll,Mentah (Raw),75.7 g,115 Kal,14.5 g,4.6 g,4.2 g,1.1 g,,207 mg,0.0 mg,42 mg,361.0 mg,0.20 mg,0.9 mg,0.04 mg,1.1 mg,0.0 g,,0 mcg,,1.20 mg,
346,GP006,"Ikan baung bakar (Asian river catfish, fresh)",Ikan/Kerang/Udang dll,Olahan (Processed),69.8 g,144 Kal,17.8 g,5.8 g,5.2 g,1.4 g,18 mg,169 mg,0.0 mg,168 mg,236.0 mg,0.10 mg,0.7 mg,0.00 mg,1.3 mg,,,,,0.00 mg,
347,GR011,"Ikan baung, segar (Asian river catfish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),74.9 g,123 Kal,15.1 g,5.5 g,3.3 g,1.2 g,5 mg,146 mg,1.3 mg,32 mg,349.0 mg,0.10 mg,0.7 mg,0.03 mg,1.2 mg,0.0 g,,0 mcg,,0.20 mg,
348,GR012,"Ikan bawal, segar (Silver Pomfret, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),78.0 g,91 Kal,19.0 g,1.7 g,0.0 g,1.3 g,20 mg,150 mg,2.0 mg,129 mg,233.3 mg,0.10 mg,0.3 mg,0.10 mg,1.8 mg,0.0 g,45 mcg,0 mcg,,0.05 mg,0 mg
349,GP007,"Ikan Belida bakar (Indonesian featherback, fresh)",Ikan/Kerang/Udang dll,Olahan (Processed),68.2 g,128 Kal,18.0 g,3.0 g,7.2 g,3.6 g,58 mg,134 mg,0.0 mg,293 mg,198.0 mg,0.10 mg,0.4 mg,0.17 mg,1.5 mg,0.0 g,,0 mcg,,1.80 mg,
350,GR013,"Ikan Belida, segar (Indonesian featherback, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),79.2 g,80 Kal,14.7 g,1.4 g,2.2 g,2.3 g,303 mg,315 mg,1.3 mg,41 mg,356.0 mg,0.00 mg,0.8 mg,0.14 mg,1.4 mg,0.0 g,,0 mcg,,1.20 mg,
351,GR014,"Ikan beunteur, segar (Spotted Barb, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),70.0 g,109 Kal,17.0 g,4.0 g,0.0 g,9.0 g,500 mg,500 mg,1.0 mg,109 mg,323.5 mg,0.60 mg,1.3 mg,0.10 mg,2.6 mg,0.0 g,45 mcg,,,0.05 mg,0 mg
352,GR015,"Ikan biawan, segar (Kissing goorami, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),79.1 g,90 Kal,14.9 g,2.5 g,2.1 g,1.4 g,125 mg,265 mg,1.0 mg,35 mg,207.0 mg,0.40 mg,0.6 mg,0.03 mg,2.9 mg,0.0 g,,,,0.36 mg,
353,GR016,"Ikan bili, segar (Minnows, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),68.3 g,88 Kal,14.2 g,0.7 g,6.2 g,10.6 g,27 mg,"1,760 mg",1.5 mg,217 mg,202.0 mg,0.00 mg,4.1 mg,0.09 mg,2.7 mg,0.0 g,,0 mcg,,0.72 mg,
354,GR017,"Ikan bubara, segar",Ikan/Kerang/Udang dll,Mentah (Raw),75.5 g,100 Kal,14.7 g,2.4 g,4.9 g,1.6 g,90 mg,90 mg,0.4 mg,390 mg,390.0 mg,0.70 mg,0.8 mg,,,,,,,,
355,GR018,"Ikan bulan-bulan, segar (Indo-Pacifik Tarpon, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),66.7 g,134 Kal,25.5 g,1.3 g,5.0 g,1.5 g,29 mg,29 mg,0.5 mg,197 mg,489.0 mg,0.10 mg,0.5 mg,0.02 mg,0.8 mg,,,,,0.30 mg,
356,GP008,"Ikan cakalang asap, mentah (Skipjack tuna, fish,smoked, raw)",Ikan/Kerang/Udang dll,Olahan (Processed),56.9 g,204 Kal,34.2 g,5.6 g,1.9 g,1.4 g,14 mg,399 mg,1.3 mg,176 mg,588.0 mg,0.30 mg,0.7 mg,0.07 mg,,,"1,546 mcg",,,0.53 mg,
357,GP009,"Ikan cakalang asin, mentah (Skipjack tuna,fish, salted, raw)",Ikan/Kerang/Udang dll,Olahan (Processed),41.7 g,198 Kal,36.5 g,2.2 g,5.5 g,14.1 g,236 mg,346 mg,3.7 mg,"4,304 mg",302.1 mg,,,,,0.0 g,0 mcg,,0 mcg,0.06 mg,0 mg
358,GR020,"Ikan cakalang, hati, segar (Scipjack tuna, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),73.4 g,120 Kal,11.3 g,3.9 g,10.0 g,1.4 g,30 mg,30 mg,0.9 mg,420 mg,280.0 mg,1.60 mg,4.3 mg,,0.2 mg,,,,,,
359,GR021,"Ikan cakalang, jantung, segar (Scipjack tuna, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),76.3 g,116 Kal,11.2 g,1.2 g,10.2 g,1.1 g,10 mg,40 mg,3.4 mg,360 mg,250.0 mg,0.50 mg,1.9 mg,,0.1 mg,,908 mcg,,,,0 mg
360,GR022,"Ikan cakalang, perut, segar (Scipjack tuna, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),79.1 g,86 Kal,10.2 g,1.1 g,8.7 g,0.9 g,20 mg,110 mg,2.1 mg,230 mg,210.0 mg,0.30 mg,9.3 mg,,0.3 mg,,,,,0.24 mg,
361,GR019,"Ikan cakalang, segar (Scipjack tuna, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),73.0 g,107 Kal,19.6 g,0.7 g,5.5 g,1.2 g,23 mg,242 mg,2.9 mg,66 mg,239.0 mg,0.20 mg,0.6 mg,0.05 mg,21.7 mg,0.0 g,386 mcg,0 mcg,,0.17 mg,0 mg
362,GP010,"Ikan calo/ peda, mentah",Ikan/Kerang/Udang dll,Olahan (Processed),71.3 g,81 Kal,11.4 g,1.9 g,3.8 g,11.6 g,743 mg,174 mg,22.6 mg,,,,,,,0.0 g,15 mcg,,0 mcg,0.00 mg,0 mg
363,GR023,"Ikan daun, segar (Leaffish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),78.6 g,101 Kal,11.5 g,4.1 g,4.6 g,1.2 g,80 mg,210 mg,0.8 mg,120 mg,270.0 mg,0.10 mg,0.9 mg,0.07 mg,0.1 mg,0.0 g,0 mcg,,,0.08 mg,0 mg
364,GR024,"Ikan ekor kuning, segar (Yellowtail, fish, fresh)",Ikan/Kerang/Udang dll,Mentah (Raw),74.1 g,108 Kal,22.3 g,1.2 g,2.1 g,0.3 g,30 mg,220 mg,0.5 mg,50 mg,230.0 mg,0.10 mg,0.6 mg,0.10 mg,0.2 mg,0.0 g,40 mcg,29 mcg,,0.00 mg,
365,GP011,"Ikan Gabus asap, mentah (Asian snakehead, fish, smoked)",Ikan/Kerang/Udang dll,Olahan (Processed),26.4 g,261 Kal,38.1 g,2.3 g,21.9 g,11.3 g,"2,510 mg","1,840 mg",2.9 mg,320 mg,410.0 mg,0.40 mg,0.8 mg,0.10 mg,14.5 mg,0.0 g,114 mcg,,,0.10 mg,
